unit_id,institution_name,state,control,hbcu,n_applied,n_admitted,n_enrolled
138558,Abraham Baldwin Agricultural College,GA,Public,0,2618,2020,1112
138600,Agnes Scott College,GA,Private not-for-profit,0,1857,1250,241
100654,Alabama A & M University,AL,Public,1,15628,10349,1956
100724,Alabama State University,AL,Public,1,5346,5113,951
132842,Albizu University-Miami,FL,Private not-for-profit,0,39,39,23
175342,Alcorn State University,MS,Public,1,7511,1852,505
156189,Alice Lloyd College,KY,Private not-for-profit,0,1871,1601,189
217624,Allen University,SC,Private not-for-profit,1,3658,1175,170
485698,American College of the Building Arts,SC,Private not-for-profit,0,58,36,36
217633,Anderson University,SC,Private not-for-profit,0,4732,2499,849
138761,Andrew College,GA,Private not-for-profit,0,780,399,108
237136,Appalachian Bible College,WV,Private not-for-profit,0,70,69,53
197869,Appalachian State University,NC,Public,0,24001,21275,4227
498447,Arizona College of Nursing-Falls Church,VA,Private for-profit,0,40,40,19
495439,Arizona College of Nursing-Fort Lauderdale,FL,Private for-profit,0,0,,
499370,Arizona College of Nursing-Sarasota,FL,Private for-profit,0,35,35,14
495420,Arizona College of Nursing-Tampa,FL,Private for-profit,0,32,32,11
106458,Arkansas State University,AR,Public,0,8019,5587,1660
106467,Arkansas Tech University,AR,Public,0,4904,4722,1467
156213,Asbury University,KY,Private not-for-profit,0,1550,993,358
100858,Auburn University,AL,Public,0,48178,24314,5935
100830,Auburn University at Montgomery,AL,Public,0,2213,2050,413
482149,Augusta University,GA,Public,0,5892,5262,1224
219602,Austin Peay State University,TN,Public,0,5559,5334,1645
446048,Ave Maria University,FL,Private not-for-profit,0,2448,1097,318
231420,Averett University,VA,Private not-for-profit,0,3322,1588,283
219639,Baptist Health Sciences University,TN,Private not-for-profit,0,152,103,43
132408,Baptist University of Florida,FL,Private not-for-profit,0,156,100,29
132471,Barry University,FL,Private not-for-profit,0,12141,7172,582
197911,Barton College,NC,Private not-for-profit,0,2228,2136,281
384254,Beacon College,FL,Private not-for-profit,0,593,358,126
175421,Belhaven University,MS,Private not-for-profit,0,2156,1148,251
156286,Bellarmine University,KY,Private not-for-profit,0,3462,3240,632
197984,Belmont Abbey College,NC,Private not-for-profit,0,2972,2686,400
219709,Belmont University,TN,Private not-for-profit,0,8950,8624,1669
217721,Benedict College,SC,Private not-for-profit,1,8073,5433,338
197993,Bennett College,NC,Private not-for-profit,1,723,243,49
156295,Berea College,KY,Private not-for-profit,0,2073,678,413
139144,Berry College,GA,Private not-for-profit,0,6467,4000,577
237181,Bethany College,WV,Private not-for-profit,0,2435,1473,243
219718,Bethel University,TN,Private not-for-profit,0,3318,3224,402
132602,Bethune-Cookman University,FL,Private not-for-profit,1,6844,6834,702
100937,Birmingham-Southern College,AL,Private not-for-profit,0,3987,2071,148
175430,Blue Mountain Christian University,MS,Private not-for-profit,0,191,191,109
237215,Bluefield State University,WV,Public,1,720,628,216
231554,Bluefield University,VA,Private not-for-profit,0,1057,663,180
139199,Brenau University,GA,Private not-for-profit,0,2761,2401,205
156356,Brescia University,KY,Private not-for-profit,0,2534,877,151
198066,Brevard College,NC,Private not-for-profit,0,2582,1020,239
139205,Brewton-Parker College,GA,Private not-for-profit,0,1018,879,244
231581,Bridgewater College,VA,Private not-for-profit,0,3984,3618,429
198109,Cabarrus College of Health Sciences,NC,Private not-for-profit,0,63,31,24
198136,Campbell University,NC,Private not-for-profit,0,3680,3470,603
156365,Campbellsville University,KY,Private not-for-profit,0,1015,998,684
489937,Carolina University,NC,Private not-for-profit,0,547,186,119
433174,Carolinas College of Health Sciences,NC,Public,0,27,22,22
219806,Carson-Newman University,TN,Private not-for-profit,0,2991,2042,367
198215,Catawba College,NC,Private not-for-profit,0,2547,1979,308
158477,Centenary College of Louisiana,LA,Private not-for-profit,0,1834,998,255
232618,Centra College,VA,Private not-for-profit,0,1,1,0
106713,Central Baptist College,AR,Private not-for-profit,0,302,140,104
156408,Centre College,KY,Private not-for-profit,0,3226,1753,361
457129,Chamberlain University-Florida,FL,Private for-profit,0,12,12,10
475732,Chamberlain University-Georgia,GA,Private for-profit,0,26,25,17
492759,Chamberlain University-Louisiana,LA,Private for-profit,0,11,10,9
489344,Chamberlain University-North Carolina,NC,Private for-profit,0,3,2,2
460871,Chamberlain University-Virginia,VA,Private for-profit,0,2,2,1
217688,Charleston Southern University,SC,Private not-for-profit,0,6072,4620,725
198303,Chowan University,NC,Private not-for-profit,0,2360,1708,161
219833,Christian Brothers University,TN,Private not-for-profit,0,1105,977,200
231712,Christopher Newport University,VA,Public,0,7062,6212,1163
217864,Citadel Military College of South Carolina,SC,Public,0,2883,2828,661
244233,City College-Hollywood,FL,Private for-profit,0,33,33,33
217873,Claflin University,SC,Private not-for-profit,1,6999,5078,456
138947,Clark Atlanta University,GA,Private not-for-profit,1,27672,17884,1069
139311,Clayton  State University,GA,Public,0,1782,1258,504
217882,Clemson University,SC,Public,0,60122,22879,4494
218724,Coastal Carolina University,SC,Public,0,18223,14613,2775
217907,Coker University,SC,Private not-for-profit,0,1121,1090,172
